id	corpus	sentence	token	complexity
3UEBBGULPFOKEW36UKBMNMVEGN9UFS	bible	Happy is everyone who retains her.	everyone	0.0
3DFYDSXB2W00JYP2DA272KN69UQJUK	bible	For everyone who exalts himself will be humbled, and whoever humbles himself will be exalted."	everyone	0.16666666666666669
3XABXM4AJ15J7OM25XLB3TH3QWUQ82	bible	Yet will I leave seven thousand in Israel, all the knees which have not bowed to Baal, and every mouth which has not kissed him."	knees	0.0
3DWNFENNE3V120VNY4BPPGPCAH2J4X	bible	When his speech is charming, don't believe him; for there are seven abominations in his heart.	speech	0.0
32LAQ1JNT9PUX1L7P4GB4QAF7WBUTU	bible	Moses said to Yahweh, "O Lord, I am not eloquent, neither before now, nor since you have spoken to your servant; for I am slow of speech, and of a slow tongue."	speech	0.1607142857142857
375VSR8FVW9Y3L2PR2AOL3OCLR3ZRH	bible	His speech is like a scorching fire.	speech	0.27941176470588236
38RHULDV9YFHGRU1QSW887T3HVCWIK	bible	Or were you baptized into the name of Paul?	name	0.0
32FESTC2NHQDBKJW3ILLFGABJABUCB	bible	He who receives a prophet in the name of a prophet will receive a prophet's reward.	name	0.04999999999999999
3APP19WN71E5QL909MJ1P1HAEGM6GW	bible	I have made this house holy, which you have built, to put my name there forever; and my eyes and my heart shall be there perpetually.	name	0.1607142857142857
3I01FDIL6M8EW0G8KU6QT3X1LJ42D1	bible	If another comes in his own name, you will receive him.	name	0.1764705882352941
3ROUCZ907FUJ74W2X1I3BAC3Q2COOV	bible	It is he who builds his rooms in the heavens, and has founded his vault on the earth; he who calls for the waters of the sea, and pours them out on the surface of the earth; Yahweh is his name.	name	0.20833333333333331
3YZ7A3YHR5TCXMIDZ33DM9MD6WAS5R	bible	For the Father judges no one, but he has given all judgment to the Son,	Father	0.0
3KL228NDMVMCP0UPBQD2ZKMSF95KGA	bible	Jesus said, "Father, forgive them, for they don't know what they are doing."	Father	0.13333333333333336
3OND0WXMHWFN3WXQZAKHMPLOAEMEHN	bible	Grace to you and peace from God our Father and the Lord Jesus Christ.	Father	0.2222222222222222
3WJGKMRWVI9RUI8AHNVW5G6NXAMCDP	bible	The waters surrounded me, even to the soul.	waters	0.025000000000000022
3YD0MU1NC21NKUA26WWJZT63BWTA7N	bible	For thus says the Lord Yahweh: When I shall make you a desolate city, like the cities that are not inhabited; when I shall bring up the deep on you, and the great waters shall cover you;	waters	0.09999999999999998
33TGB4G0LPHME5F2U9RYOX9J1CLTXA	bible	Don't let the flood waters overwhelm me, neither let the deep swallow me up.	waters	0.16666666666666669
39WICJI5ATS6KJHNGC9S35LWFFDZ37	bible	In the time that you were broken by the seas in the depths of the waters, your merchandise and all your company fell in your midst.	waters	0.23529411764705882
39N6W9XWRDN795J6F5ET8S13DQKGYB	bible	This same Hezekiah also stopped the upper spring of the waters of Gihon, and brought them straight down on the west side of the city of David.	waters	0.265625
3UQ1LLR26A8MZFZ4AQXTIYO46E7LAC	bible	He sighed deeply in his spirit, and said, "Why does this generation seek a sign?	sign	0.109375
324N5FAHSXBV7XKK0LCOZLP22QTVKE	bible	The priest shall lay them in order on the wood that is on the fire which is on the altar,	wood	0.025000000000000022
30UZJB2POHC8D5XY9O2CE1E1EEU53R	bible	Yahweh will bring you, and your king whom you shall set over you, to a nation that you have not known, you nor your fathers; and there you shall serve other gods, wood and stone.	wood	0.11764705882352944
3VLL1PIENQOV68A9ZATKR8J7A69ZO2	bible	On whatever any of them falls when they are dead, it shall be unclean; whether it is any vessel of wood, or clothing, or skin, or sack, whatever vessel it is, with which any work is done, it must be put into water, and it shall be unclean until the evening; then it will be clean.	wood	0.1607142857142857
3FJ2RVH25Z62TA3R8E1O77EBUYP29K	bible	As for the living bird, he shall take it, and the cedar wood, and the scarlet, and the hyssop, and shall dip them and the living bird in the blood of the bird that was killed over the running water.	wood	0.234375
33BFF6QPI1B2QOCI5PPL41REYDFW3K	bible	Then Asa took all the silver and the gold that were left in the treasures of the house of Yahweh, and the treasures of the king's house, and delivered them into the hand of his servants; and king Asa sent them to Ben Hadad, the son of Tabrimmon, the son of Hezion, king of Syria, who lived at Damascus, saying,	gold	0.025000000000000022
3Z8UJEJOCZDRESZACEFTQHJ30CP39W	bible	and to make skillful works, to work in gold, in silver, in brass,	gold	0.04999999999999999
3BS6ERDL9372E1Z97WITJGED1O6D6T	bible	But all the silver, and gold, and vessels of brass and iron, are holy to Yahweh.	gold	0.09999999999999998
3XD2A6FGFNUVY9KP2TGUYPRFSSO9SU	bible	His head is like the purest gold.	gold	0.21052631578947367
3E24UO25QZQTIYQYX5W9UAQC52D6OJ	bible	Thus you were decked with gold and silver; and your clothing was of fine linen, and silk, and embroidered work; you ate fine flour, and honey, and oil; and you were exceeding beautiful, and you prospered to royal estate.	gold	0.2282608695652174
3S37Y8CWI80N8KVM53U4E6JKCDBW45	bible	You will weep no more.	weep	0.025000000000000022
3U74KRR67MLH2B1YS34PQVILZ0ITN1	bible	and to speak to the priests of the house of Yahweh of Armies, and to the prophets, saying, "Should I weep in the fifth month, separating myself, as I have done these so many years?"	weep	0.2941176470588235
3K2CEDRACB1BKTGYG2PPDGTLUAETM7	bible	He brought them forth with silver and gold.	silver	0.025000000000000022
3HY86PZXPYICZLCCXLHWU25HTPR1EC	bible	He made its pillars of silver, its bottom of gold, its seat of purple, its midst being paved with love, from the daughters of Jerusalem.	silver	0.125
3M47JKRKCX1QX63IQO7DXO0CQX986I	bible	All the vessels of gold and of silver were five thousand and four hundred.	silver	0.13235294117647056
3IV1AEQ4DRD2L1IPA7126S5HC1LJ8N	bible	For in that day everyone shall cast away his idols of silver and his idols of gold--sin which your own hands have made for you.	silver	0.234375
3XU80RHWHZGBZIC2VXOLJE0TSK744M	bible	Now in a large house there are not only vessels of gold and of silver, but also of wood and of clay.	silver	0.2894736842105263
3ZUE82NE0A1MGZWTRHAHRUDPJWHF8X	bible	But for this cause I came to this time.	cause	0.025000000000000022
32FESTC2NHQDBKJW3ILLFGABJAHUCH	bible	Thus says Yahweh of Armies, the God of Israel: You have seen all the evil that I have brought on Jerusalem, and on all the cities of Judah; and behold, this day they are a desolation, and no man dwells therein,	cities	0.02777777777777779
3BC9H1KCYUC36R96UAIBUVNR7EAWYQ	bible	Solomon gathered chariots and horsemen: and he had one thousand four hundred chariots, and twelve thousand horsemen, that he placed in the chariot cities, and with the king at Jerusalem.	cities	0.09999999999999998
3GS542CVJVNUS7MEQX3M5EHNE8G95S	bible	But the men of the army whom Amaziah sent back, that they should not go with him to battle, fell on the cities of Judah, from Samaria even to Beth Horon, and struck of them three thousand, and took much spoil.	cities	0.23809523809523808
3L84EBDQ372HRMQ81HYHXCELMSSKKN	bible	Over the king's treasures was Azmaveth the son of Adiel: and over the treasures in the fields, in the cities, and in the villages, and in the towers, was Jonathan the son of Uzziah:	cities	0.26388888888888884
3ACRLU860NEDCJU4ZIAL0EIQF1NEBD	bible	They were like the grass of the field, and like the green herb, like the grass on the housetops, and like a field before its crop has grown.	crop	0.02777777777777779
32CAVSKPCEPTOH9YNLW1YKRKFDR1UZ	bible	For the land which has drunk the rain that comes often on it, and brings forth a crop suitable for them for whose sake it is also tilled, receives blessing from God;	crop	0.16666666666666669
3UY4PIS8QRLGTRPPQKKFKPZQ7HY1N7	bible	Neither shall you swear by your head, for you can't make one hair white or black.	hair	0.25
3LXX8KJXPW9G0HSWVCZLEKHEV3Q9O2	bible	Truly, Yahweh, the kings of Assyria have laid waste the nations and their lands,	kings	0.02777777777777779
3OWZNK3RYLP0D2RU6PWF331P7H92UH	bible	Jerusalem, and the cities of Judah, and its kings, and its princes, to make them a desolation, an astonishment, a hissing, and a curse, as it is this day;	kings	0.14285714285714285
37Y5RYYI0P5LZ52N59M8ESDXZVEXS0	bible	Your gates also shall be open continually; they shall not be shut day nor night; that men may bring to you the wealth of the nations, and their kings led captive.	kings	0.22368421052631576
3MXX6RQ9EV5XOBYLTHG9MCBOJEQP4H	bible	Lord, to us belongs confusion of face, to our kings, to our princes, and to our fathers, because we have sinned against you.	kings	0.2272727272727273
3NBFJK3IOHIVFRF49I5V6131ZGFOG2	bible	Joash slept with his fathers; and Jeroboam sat on his throne: and Joash was buried in Samaria with the kings of Israel.	kings	0.23529411764705882
3ZFRE2BDQ9EI0HO101GGALA0M8OXZB	bible	No one puts a piece of unshrunk cloth on an old garment; for the patch would tear away from the garment, and a worse hole is made.	cloth	0.02777777777777779
391FPZIE4CM4SSUCPAZMQ77RW2MUHQ	bible	The priest said, "The sword of Goliath the Philistine, whom you killed in the valley of Elah, behold, it is here wrapped in a cloth behind the ephod.	cloth	0.1842105263157895
3GONHBMNHVY765PXMUE7Z4U2F60ZMT	bible	He raises his hands against his friends.	hands	0.02777777777777779
39N6W9XWRDN795J6F5ET8S13DQEYGN	bible	For every head is bald, and every beard clipped: on all the hands are cuttings, and on the waist sackcloth.	hands	0.19117647058823528
32ZCLEW0BZKNRTH6WO3DSE071DYJPO	bible	It shall happen, when you shall show this people all these words, and they shall tell you, Why has Yahweh pronounced all this great evil against us?	words	0.04999999999999999
33KGGVH24UHL5L3TSQ7OIRQO9TPX10	bible	But to the king of Judah, who sent you to inquire of Yahweh, thus you shall tell him, "Thus says Yahweh, the God of Israel: 'Concerning the words which you have heard,	words	0.15000000000000002
3Y7LTZE0YTMQJDU6VW5TQEBWSQXUZ6	bible	Turn your ear, and listen to the words of the wise.	words	0.203125
3UV0D2KX1MJLXY9RFEK4AIXKH8GF4H	bible	When David's young men came, they spoke to Nabal according to all those words in the name of David, and ceased.	words	0.25
341H3G5YF0EA3RIQXPR917NPC3U0ZE	bible	The Lord Yahweh has sworn by his holiness that behold, "The days shall come on you that they will take you away with hooks, and the last of you with fish hooks.	fish	0.22368421052631576
3RDTX9JRTY19FB0XEQIJ3YVJ5EB977	bible	He who observes the wind won't sow; and he who regards the clouds won't reap.	clouds	0.04999999999999999
37J05LC5AXJE2WEGRFCISKJINSIJDT	bible	Lightning and hail, snow and clouds; stormy wind, fulfilling his word;	clouds	0.2222222222222222
3L21G7IH47WA5QT3XMTQ15XXB1W1YR	bible	He said, "Go out, and stand on the mountain before Yahweh."	mountain	0.04999999999999999
3FO95NVK5C0129GBWAGGPAR9YCTSRV	bible	Jacob offered a sacrifice in the mountain, and called his relatives to eat bread.	mountain	0.13333333333333336
3LB1BGHFL2WBEA5CZ5D07BGS3IFTYG	bible	The second angel sounded, and something like a great burning mountain was thrown into the sea.	mountain	0.2647058823529411
3P7RGTLO6EDBF9HMPQLS3YBPHEGKAM	bible	but have done evil above all who were before you, and have gone and made you other gods, and molten images, to provoke me to anger, and have cast me behind your back:	images	0.17105263157894735
3HEA4ZVWVDMBRKK2N7Q5TYCLSCX55X	bible	For they provoked him to anger with their high places, and moved him to jealousy with their engraved images.	images	0.2368421052631579
3MQY1YVHS3KLH3IO6YFKYD91IWG2BE	bible	All the people went to the house of Baal, and broke it down, and broke his altars and his images in pieces, and killed Mattan the priest of Baal before the altars.	images	0.27941176470588236
3I7SHAD35MWOMVJR3ZMO8K135BAM77	bible	Under him were Eden, and Miniamin, and Jeshua, and Shemaiah, Amariah, and Shecaniah, in the cities of the priests, in their office of trust, to give to their brothers by divisions, as well to the great as to the small:	trust	0.265625
30P8I9JKOILSPEZHTY8IXW6K50YV5T	bible	and might deliver all of them who through fear of death were all their lifetime subject to bondage.	subject	0.32499999999999996
3YLTXLH3DF6R0NMG8O0SG1KSOLOPHJ	bible	Now therefore, if it seem good to the king, let a search be made in the king's treasure house, which is there at Babylon, whether it be so, that a decree was made of Cyrus the king to build this house of God at Jerusalem; and let the king send his pleasure to us concerning this matter."	search	0.16666666666666669
3UEDKCTP9VQTW7JOIN98T79ZG6B7KJ	bible	Then Darius the king made a decree, and search was made in the house of the archives, where the treasures were laid up in Babylon.	search	0.25
3FW4EL5A3LORTQISN5M9XK6XOSF22S	bible	(For only Og king of Bashan remained of the remnant of the Rephaim; behold, his bedstead was a bedstead of iron; isn't it in Rabbah of the children of Ammon?	iron	0.04999999999999999
38DCH97KHH28R5ILW1I2SJQH69KJQF	bible	The children of Israel cried to Yahweh: for he had nine hundred chariots of iron; and twenty years he mightily oppressed the children of Israel.	iron	0.09999999999999998
3R16PJFTS3RWDK15GPB1QVPPP62K4X	bible	There you shall build an altar to Yahweh your God, an altar of stones: you shall lift up no iron on them.	iron	0.15000000000000002
31HLTCK4BLVQ5BO1AUR91TX9V9IGV2	bible	They with whom precious stones were found gave them to the treasure of the house of Yahweh, under the hand of Jehiel the Gershonite.	stones	0.04999999999999999
3X4Q1O9UBHMCMY43GF110OQ80D2O75	bible	Bring forth therefore fruits worthy of repentance, and don't begin to say among yourselves, 'We have Abraham for our father;' for I tell you that God is able to raise up children to Abraham from these stones!	stones	0.26388888888888884
3SMIWMMK615MPIP1K9LMRAHEBQZWUS	bible	He sees the place of stones.	stones	0.3421052631578947
3D1UCPY6GG9R0NG07M9FQLOSG6783C	bible	This is nothing else but sorrow of heart."	nothing	0.04999999999999999
3JGHED38EDROGC85M2AZ2FOAENW7YU	bible	There was nothing in the ark except the two tables which Moses put at Horeb, when Yahweh made a covenant with the children of Israel, when they came out of Egypt.	nothing	0.04999999999999999
3QTFNPMJC6IDONAXYVT7CJJ2KWAZNT	bible	Behold, you have made the heavens and the earth by your great power and by your outstretched arm; there is nothing too hard for you,	nothing	0.1388888888888889
3KA7IJSNW65H9AJU8WQWUQHUT8JPB3	bible	You shall not sow your vineyard with two kinds of seed, lest the whole fruit be forfeited, the seed which you have sown, and the increase of the vineyard.	fruit	0.04999999999999999
33W1NHWFYHLBJ0FHVRFJLIPU9EWZTU	bible	therefore, behold, I will deliver you to the children of the east for a possession, and they shall set their encampments in you, and make their dwellings in you; they shall eat your fruit, and they shall drink your milk.	fruit	0.08333333333333331
3ZVPAMTJWN3YC47K1AMZ0W86A35RGK	bible	But I tell you that I will not drink of this fruit of the vine from now on, until that day when I drink it anew with you in my Father's Kingdom."	fruit	0.175
35YHTYFL1G3KRBS6ZALRJ8XXUSMVFI	bible	But it was plucked up in fury, it was cast down to the ground, and the east wind dried up its fruit: its strong rods were broken off and withered; the fire consumed them.	fruit	0.25
3P520RYKCH6SCZAHO8YD1A41RR05UL	bible	For though the fig tree doesn't flourish, nor fruit be in the vines; the labor of the olive fails, the fields yield no food; the flocks are cut off from the fold, and there is no herd in the stalls:	fruit	0.25
3VJ4PFXFJ37PI5MYJ4PU9LKNJ7QUA9	bible	In seven days, I will cause it to rain on the earth for forty days and forty nights.	nights	0.04999999999999999
3DIIW4IV8PV57PBHGMQPDFACX084IX	bible	You shall take of the blood of the bull, and put it on the horns of the altar with your finger; and you shall pour out all the blood at the base of the altar.	finger	0.04999999999999999
38EHZ67RIMS7FOUSW2QIEXEW4G6MGR	bible	It happened after these things, that his master's wife cast her eyes on Joseph; and she said, "Lie with me."	eyes	0.04999999999999999
3B623HUYJ4QVK41FX1AGYTW48KFS8T	bible	"I made a covenant with my eyes, how then should I look lustfully at a young woman?	eyes	0.13235294117647056
3WJGKMRWVI9RUI8AHNVW5G6NXAHDCL	bible	The sticks whereon you write shall be in your hand before their eyes.	eyes	0.16666666666666669
3ZVPAMTJWN3YC47K1AMZ0W86A35GR9	bible	Nahash the Ammonite said to them, "On this condition I will make it with you, that all your right eyes be put out; and I will lay it for a reproach on all Israel."	eyes	0.25
3A3KKYU7P3H3CAKSB7U0000KY2JWMJ	bible	Furthermore you have sent for men who come from far, to whom a messenger was sent, and behold, they came; for whom you did wash yourself, paint your eyes, and decorate yourself with ornaments,	eyes	0.25
30F94FBDNRKF12C1PDZGZ0IRIBATBI	bible	"Speak to Aaron, and to his sons, and to all the children of Israel, and say to them: 'This is the thing which Yahweh has commanded,	Israel	0.05555555555555558
3XD2A6FGFNUVY9KP2TGUYPRFSQXS9I	bible	While Israel lived in Heshbon and its towns, and in Aroer and its towns, and in all the cities that are along by the side of the Arnon, three hundred years; why didn't you recover them within that time?	Israel	0.25
3TFJJUELSHP4R8AUKYBF9XFJ0HS2CX	bible	Come with us, and we will treat you well; for Yahweh has spoken good concerning Israel."	Israel	0.30000000000000004
3VMHWJRYHVGCV0X1ZPM97TUIA38XF1	bible	The children of Israel gave to the Levites out of their inheritance, according to the commandment of Yahweh, these cities with their suburbs.	Israel	0.30000000000000004
3YZ7A3YHR5TCXMIDZ33DM9MD6W55SZ	bible	For because of the hope of Israel I am bound with this chain."	Israel	0.3088235294117647
3RWO3EJELH9GWC126ZX7OE4L7WYP1Q	bible	He said to them, "It is written, 'My house shall be called a house of prayer,' but you have made it a den of robbers!"	prayer	0.05555555555555558
3SBX2M1TKDNIONZ0TUVYMH1YOCPQ4Q	bible	Listen to my prayer.	prayer	0.16666666666666669
37Y5RYYI0P5LZ52N59M8ESDXZTOXS6	bible	You who hear prayer, to you all men will come.	prayer	0.18055555555555558
3QQUBC64ZEEOJSAIXD5MFY3RCUGNXK	bible	We know that we are of God, and the whole world lies in the power of the evil one.	power	0.05555555555555558
38EHZ67RIMS7FOUSW2QIEXEW4G6GML	bible	But this is your hour, and the power of darkness."	power	0.25
3HEM8MA6H9C4DGLJRENMPFCTF6UQPM	bible	Now the cities of the tribe of the children of Benjamin according to their families were Jericho, Beth Hoglah, Emek Keziz,	Benjamin	0.05555555555555558
31JUPBOORN48GR6PDSDFM7I9GQ7L88	bible	At the east side four thousand and five hundred [reeds], and three gates: even the gate of Joseph, one; the gate of Benjamin, one; the gate of Dan, one.	Benjamin	0.2666666666666667
389A2A304OIXVY7G5B71Q9M43L80CF	bible	The men of Israel turned, and the men of Benjamin were dismayed; for they saw that evil had come on them.	Benjamin	0.3125
3D3B8GE892RYLH4XACC03KM456H9PA	bible	Samuel arose, and went from Gilgal to Gibeah of Benjamin.	Benjamin	0.3194444444444444
38XPGNCKHT0ATVVHFTP8S406523V4K	bible	So they passed on and went their way; and the sun went down on them near to Gibeah, which belongs to Benjamin.	Benjamin	0.3382352941176471
3HEM8MA6H9C4DGLJRENMPFCTF8QPQL	bible	that the blessing of Abraham might come on the Gentiles through Christ Jesus; that we might receive the promise of the Spirit through faith.	blessing	0.05555555555555558
35NNO802AVWRTXLNYR5LCOGCOJ3INA	bible	Yahweh's blessing brings wealth, and he adds no trouble to it.	blessing	0.171875
3JVP4ZJHDPSO81TGXL3N1CKZGOKI0N	bible	The throne of God and of the Lamb will be in it, and his servants serve him.	throne	0.05555555555555558
3VP28W7DUNK10VXG07AU4EATI5IZFG	bible	I saw, and I heard something like a voice of many angels around the throne, the living creatures, and the elders; and the number of them was ten thousands of ten thousands, and thousands of thousands;	throne	0.14473684210526316
3IZVJEBJ6AK5H245ZE7QA8XGP4FZ69	bible	There was a rainbow around the throne, like an emerald to look at.	throne	0.17857142857142855
3S1L4CQSFX50ZNP8OFUVNLJK9ICFAS	bible	It is an abomination for kings to do wrong, for the throne is established by righteousness.	throne	0.203125
3RTFSSG7T86J6S27BVTL0NLVYXTWLH	bible	Joash slept with his fathers; and Jeroboam sat on his throne: and Joash was buried in Samaria with the kings of Israel.	throne	0.23333333333333334
3126F2F5F83FGDVEINSMVYNFW52PE9	bible	Open the gates, that the righteous nation may enter: the one which keeps faith.	faith	0.05555555555555558
30EMX9PEVKJFF53G6Q7JOY5V3KZSK2	bible	For he was a good man, and full of the Holy Spirit and of faith, and many people were added to the Lord.	faith	0.1607142857142857
3J9L0X0VDFMO5Q1YMYQVVEU0Y389WT	bible	night and day praying exceedingly that we may see your face, and may perfect that which is lacking in your faith?	faith	0.1875
3KVQ0UJWPXL543ZMJ8DEJYPYC7TW5T	bible	to another faith, by the same Spirit; and to another gifts of healings, by the same Spirit;	faith	0.20833333333333331
3A520CCNWN08T9PCT4AP53YKXJXAE9	bible	Jesus answered them, "Most certainly I tell you, if you have faith, and don't doubt, you will not only do what was done to the fig tree, but even if you told this mountain, 'Be taken up and cast into the sea,' it would be done.	faith	0.25
3RIHDBQ1NEYLFKP3G880ZXQXJGJMHQ	bible	and what place shall be my rest?	rest	0.09999999999999998
3BC9H1KCYUC36R96UAIBUVNR7EAYWS	bible	The other Jews who were in the king's provinces gathered themselves together, defended their lives, had rest from their enemies, and killed seventy-five thousand of those who hated them; but they didn't lay their hand on the plunder.	rest	0.17857142857142855
35NNO802AVWRTXLNYR5LCOGCOJ3NIF	bible	The rest of the acts of Abijam, and all that he did, aren't they written in the book of the chronicles of the kings of Judah?	rest	0.25
3L7SUC0TTUUA4KJ7I01FT5RGXXM0M3	bible	The king loved Esther more than all the women, and she obtained favor and kindness in his sight more than all the virgins; so that he set the royal crown on her head, and made her queen instead of Vashti.	crown	0.05882352941176472
3MA5N0ATTCB8MMKPQVHKLN8G9XOWKE	bible	neither shall he go out of the sanctuary, nor profane the sanctuary of his God; for the crown of the anointing oil of his God is upon him.	crown	0.125
382GHPVPHSRQHMTYVJJ2998NEKB431	bible	which has come to you; even as it is in all the world and is bearing fruit and growing, as it does in you also, since the day you heard and knew the grace of God in truth;	truth	0.06944444444444442
3D7VY91L65XBO7MHGGY4DMNZO38MB4	bible	Yahweh is near to all those who call on him, to all who call on him in truth.	truth	0.21666666666666667
3MWOYZD5WVO1PJWQWMIQWLCY0S1ONA	bible	constant friction of people of corrupt minds and destitute of the truth, who suppose that godliness is a means of gain.	truth	0.21875
37NXA7GVST66R322LLOPEL2HRQYLV7	bible	and with all deception of wickedness for those who are being lost, because they didn't receive the love of the truth, that they might be saved.	truth	0.22058823529411764
3FDWKV9VCN2QK6VNG7FZICFNDOLMUR	bible	Surely the mountains produce food for him, where all the animals of the field play.	play	0.07142857142857145
3IKMEYR0LWVMA6MICBSDXGSR5Q12KA	bible	The next day, he saw Jesus coming to him, and said, "Behold, the Lamb of God, who takes away the sin of the world!	world	0.140625
3DFYDSXB2W00JYP2DA272KN69SKUJL	bible	Then the nations set against him on every side from the provinces; and they spread their net over him; he was taken in their pit.	side	0.07500000000000001
3D0LPO3EABZV1I043OR1D1A54AYOYP	bible	From there they traveled, and encamped on the other side of the Arnon, which is in the wilderness, that comes out of the border of the Amorites: for the Arnon is the border of Moab, between Moab and the Amorites.	side	0.16176470588235292
31GN6YMHLPS6A5XXV4QMC9ZQQTEWSC	bible	and you shall offer for the drink offering half a hin of wine, for an offering made by fire, of a pleasant aroma to Yahweh.	drink	0.07500000000000001
3JMNNNO3B14D56GZ1PBGLRMMSZFW29	bible	Behold, I will rebuke your seed, and will spread dung on your faces, even the dung of your feasts; and you will be taken away with it.	faces	0.07500000000000001
37M4O367VJI9ZR58F67RA0N7E5FM5S	bible	Outside of the veil of the Testimony, in the Tent of Meeting, shall Aaron keep it in order from evening to morning before Yahweh continually: it shall be a statute forever throughout your generations.	order	0.19117647058823528
3KTZHH2ONIFSM9OAD4EUMKXYGXTM8B	bible	for I will promote you to very great honor, and whatever you say to me I will do.	honor	0.07500000000000001
33N1S8XHHMLAAG38T8V9FC6ZHV5Z1L	bible	But God composed the body together, giving more abundant honor to the inferior part,	honor	0.234375
3VGZ74AYTGGU62I1JDW4B19KA0XCGQ	bible	Before honor is humility.	honor	0.25
3R5OYNIC2C9H5WDB8IHHUKNGZFPPTZ	bible	There will be a pavilion for a shade in the daytime from the heat, and for a refuge and for a shelter from storm and from rain.	refuge	0.07500000000000001
33K3E8REWWV3GLNERBG3X1DWNZVX8K	bible	Show your marvelous loving kindness, you who save those who take refuge by your right hand from their enemies.	refuge	0.2833333333333333
