id	subcorpus	sentence	token	complexity
3LCXHSGDLT6CT5B6A4WGQ3SQJP4ES9	bible	"Don't be afraid; for you shall not be ashamed: neither be confounded; for you shall not be disappointed: for you shall forget the shame of your youth; and the reproach of your widowhood you shall remember no more.	widowhood	0.31666666666666665
382GHPVPHSRQHMTYVJJ2998NEKB340	bible	Therefore they will carry away the abundance they have gotten, and that which they have stored up, over the brook of the willows.	abundance	0.2647058823529411
3HRWUH63QU2FH9Q8R7MRNFC7JVWN50	bible	But sin, finding occasion through the commandment, produced in me all kinds of coveting.	occasion	0.35
3R6RZGK0XFCQR29140DF8T4D058YVI	bible	Thus says Yahweh, the God of Israel: I made a covenant with your fathers in the day that I brought them forth out of the land of Egypt, out of the house of bondage, saying,	covenant	0.27380952380952384
3B9J25CZ25DXW7RSEDQL0FSNYDQSCT	bible	For finding fault with them, he said, "Behold, the days come," says the Lord, "that I will make a new covenant with the house of Israel and with the house of Judah;	covenant	0.3026315789473685
3OJX0UFJ0Z7BDMCTRYBUDQ93DNX9UU	bible	Therefore thus says the Lord Yahweh: As I live, surely my oath that he has despised, and my covenant that he has broken, I will even bring it on his own head.	covenant	0.31818181818181823
3BKZLF990ZZYMUDKI1J52655JBGQYZ	bible	Then Solomon assembled the elders of Israel, and all the heads of the tribes, the princes of the fathers' households of the children of Israel, to Jerusalem, to bring up the ark of the covenant of Yahweh out of the city of David, which is Zion.	covenant	0.4642857142857143
3PCPFX4U40QSM3WPDBRHDLYPD07QFJ	bible	It happened, when David lived in his house, that David said to Nathan the prophet, "Behold, I dwell in a house of cedar, but the ark of the covenant of Yahweh is under curtains."	covenant	0.4833333333333333
32LAQ1JNT9PUX1L7P4GB4QAF7UBUTQ	bible	Thus says the Lord Yahweh: When the whole earth rejoices, I will make you desolate.	rejoices	0.2833333333333333
3L55D8AUFAXUST31DJIAI1GOFWWYCJ	bible	The refining pot is for silver, and the furnace for gold, but Yahweh tests the hearts.	pot	0.29166666666666663
37SDSEDIN92VQK2LKIVW2S9VIMT18D	bible	ten head of fat cattle, and twenty head of cattle out of the pastures, and one hundred sheep, besides harts, and gazelles, and roebucks, and fattened fowl.	fowl	0.3088235294117647
3HJ1EVZS2OJXISVW6VFFH2JX6WNR3V	bible	From the sole of the foot even to the head there is no soundness in it: wounds, welts, and open sores.	soundness	0.32608695652173914
3M93N4X8HKNK4LXYO577NJ5IOXZJSY	bible	More to be desired are they than gold, yes, than much fine gold; sweeter also than honey and the extract of the honeycomb.	extract	0.36111111111111116
3L7SUC0TTUUA4KJ7I01FT5RGXZC0MX	bible	He shall stand before Eleazar the priest, who shall inquire for him by the judgment of the Urim before Yahweh: at his word shall they go out, and at his word they shall come in, both he, and all the children of Israel with him, even all the congregation."	congregation	0.375
3NRZ1LDP7W6DR8MAEA6ZG8OXKB5ZPJ	bible	For whom the Lord loves, he chastens, and scourges every son whom he receives."	scourges	0.375
3L55D8AUFAXUST31DJIAI1GOFYMYCD	bible	Their dead bodies will be in the street of the great city, which spiritually is called Sodom and Egypt, where also their Lord was crucified.	Sodom	0.38235294117647056
3MD8CKRQZZN836XL9G72X90M2VGJRA	bible	Set up a standard against the walls of Babylon, make the watch strong, set the watchmen, prepare the ambushes; for Yahweh has both purposed and done that which he spoke concerning the inhabitants of Babylon.	watchmen	0.38888888888888884
311HQEI8RSGOL2IAIOCIGMXCKH07ZL	bible	The lords of the Philistines gathered them together to offer a great sacrifice to Dagon their god, and to rejoice; for they said, "Our god has delivered Samson our enemy into our hand."	Dagon	0.3970588235294118
3ODOP6T3ASK1W4XFRJ5XQZ3V86B42Q	bible	Only Dagon's torso was intact.	Dagon	0.5
3LN3BXKGC0V3K0O604W5NVGN2IEGW6	bible	It turned toward the sunrise to Beth Dagon, and reached to Zebulun, and to the valley of Iphtah El northward to Beth Emek and Neiel.	Dagon	0.5625
3EQPA8A374WH5XJCJX1FJC2LBAZZJF	bible	I know your pride, and the naughtiness of your heart; for you have come down that you might see the battle."	naughtiness	0.4
37M4O367VJI9ZR58F67RA0N7E7MM53	bible	We have become a reproach to our neighbors, a scoffing and derision to those who are around us.	scoffing	0.40625
3TY2U1TEB7AR5IE81BYTVIEVSESJJO	bible	The priest and the prophet reel with strong drink.	reel	0.41666666666666663
3ZVPAMTJWN3YC47K1AMZ0W86A3ZGR3	bible	but he whose genealogy is not counted from them has accepted tithes from Abraham, and has blessed him who has the promises.	genealogy	0.4305555555555556
3EGKVCRQFWSBIOBVZJMF7HA6XDMYB6	bible	The sons of Bela: Ezbon, and Uzzi, and Uzziel, and Jerimoth, and Iri, five; heads of fathers' houses, mighty men of valor; and they were reckoned by genealogy twenty-two thousand thirty-four.	genealogy	0.578125
3ATYLI1PRT256T55HOQY3EVHR6POJV	bible	Enoch walked with God, and he was not, for God took him.	Enoch	0.4347826086956522
3EAWOID6MTXTU7DGWS26G1ATOQBV0S	bible	About these also Enoch, the seventh from Adam, prophesied, saying, "Behold, the Lord came with ten thousands of his holy ones,	Enoch	0.484375
3X2YVV51PU46GLY3ILB2G8CH0TVW1M	bible	All the days of Enoch were three hundred sixty-five years.	Enoch	0.5333333333333333
36FQTHX3Z3RA2LE7AYTPHNETOCS3B6	bible	Now Saul had a concubine, whose name was Rizpah, the daughter of Aiah: and Ishbosheth said to Abner, "Why have you gone in to my father's concubine?"	Abner	0.4411764705882353
3SZYX62S5G0QEOYLB052RIQHJG257I	bible	all the inhabitants of the hill country from Lebanon to Misrephoth Maim, even all the Sidonians; them will I drive out from before the children of Israel: only allocate it to Israel for an inheritance, as I have commanded you.	Maim	0.4444444444444444
3W0XM68YZPVFLL4MT7SZSXIMDKFK13	bible	They told Sisera that Barak the son of Abinoam was gone up to Mount Tabor.	Tabor	0.4852941176470589
38EHZ67RIMS7FOUSW2QIEXEW4G0MGL	bible	It turned from Sarid eastward toward the sunrise to the border of Chisloth Tabor.	Tabor	0.5294117647058824
